"('map', 0.9967535138130188, (1139.2115478515625, 179.18894958496094, 195.63577270507812, 208.16038513183594))","('ball', 0.9920229315757751, (504.7265319824219, 680.1336669921875, 117.60028076171875, 81.94085693359375))","('dice', 0.9898204207420349, (502.4327087402344, 107.83281707763672, 63.24342346191406, 110.49253845214844))","('face', 0.8913899660110474, (372.91162109375, 328.4150390625, 88.62318420410156, 93.79525756835938))","('key', 0.8637804388999939, (794.6114501953125, 119.47128295898438, 112.46746063232422, 49.97867202758789))"
"('map', 0.9974397420883179, (1139.17333984375, 178.8704833984375, 190.6378936767578, 213.0447235107422))","('ball', 0.9896227717399597, (504.8265075683594, 680.4077758789062, 118.39248657226562, 80.42466735839844))","('dice', 0.9852238297462463, (502.0379943847656, 107.86851501464844, 63.05841064453125, 109.11198425292969))","('key', 0.9127311110496521, (793.8404541015625, 120.84908294677734, 120.46258544921875, 63.09523391723633))","('face', 0.8391333222389221, (372.5730895996094, 328.5723876953125, 88.59072875976562, 96.88935852050781))"
"('map', 0.9972996711730957, (1138.2606201171875, 180.28988647460938, 191.384033203125, 210.30580139160156))","('ball', 0.9916439652442932, (504.70831298828125, 680.9544067382812, 117.85176086425781, 79.4876937866211))","('dice', 0.9797664880752563, (502.32318115234375, 108.47718048095703, 62.96611022949219, 106.9885025024414))","('face', 0.9157610535621643, (370.59423828125, 329.67431640625, 90.31597137451172, 97.40225219726562))","('key', 0.8534950613975525, (793.0946044921875, 121.23556518554688, 120.91930389404297, 64.08883666992188))"
"('map', 0.9983579516410828, (1136.9093017578125, 179.67190551757812, 192.60272216796875, 211.2320556640625))","('ball', 0.9932767748832703, (504.8630065917969, 680.6556396484375, 118.12541961669922, 79.70144653320312))","('dice', 0.9639780521392822, (502.076171875, 108.72293090820312, 63.24342346191406, 105.02166748046875))","('face', 0.8986878395080566, (369.3746337890625, 330.0604248046875, 91.72705078125, 98.72197723388672))","('key', 0.8751401901245117, (792.765625, 121.17048645019531, 121.68930053710938, 64.19845581054688))"
"('map', 0.9981403946876526, (1137.2218017578125, 179.40431213378906, 192.086181640625, 208.8220977783203))","('ball', 0.9913824796676636, (505.35321044921875, 680.4822387695312, 118.638427734375, 80.28734588623047))","('dice', 0.9764339327812195, (502.26873779296875, 108.57776641845703, 63.52195739746094, 105.36194610595703))","('face', 0.9387469291687012, (367.8252868652344, 330.2013854980469, 91.60395812988281, 99.16584777832031))","('key', 0.8597019910812378, (792.5476684570312, 120.98407745361328, 122.06123352050781, 63.63668441772461))"
"('map', 0.9968507885932922, (1137.76708984375, 179.47332763671875, 190.73101806640625, 210.35716247558594))","('ball', 0.9908306002616882, (505.04656982421875, 680.4872436523438, 118.60222625732422, 80.74930572509766))","('dice', 0.9782899618148804, (502.6623840332031, 108.3936996459961, 63.8328857421875, 105.27838134765625))","('face', 0.9311796426773071, (365.76605224609375, 336.36004638671875, 93.11468505859375, 105.75496673583984))","('key', 0.8840208649635315, (793.0036010742188, 119.80387115478516, 110.72380828857422, 50.709983825683594))"
"('map', 0.9971421360969543, (1138.8489990234375, 179.3944549560547, 188.55496215820312, 209.38363647460938))","('ball', 0.9894631505012512, (505.5366516113281, 680.3729858398438, 118.31302642822266, 80.82819366455078))","('dice', 0.9819051027297974, (502.33880615234375, 108.19119262695312, 63.95767593383789, 107.17150115966797))","('face', 0.9042785167694092, (367.06610107421875, 338.23040771484375, 93.90229034423828, 102.8521728515625))","('key', 0.8734129667282104, (794.3767700195312, 119.54136657714844, 112.11106872558594, 49.39640808105469))"
"('map', 0.9975153207778931, (1139.969970703125, 178.5857391357422, 190.68443298339844, 209.33253479003906))","('dice', 0.9890605211257935, (501.7441101074219, 108.20484924316406, 64.08271789550781, 107.84078979492188))","('ball', 0.9884399771690369, (504.8447265625, 680.0786743164062, 117.92732238769531, 81.1841812133789))","('face', 0.9042782783508301, (366.8575744628906, 338.4468994140625, 91.14663696289062, 100.43280792236328))","('key', 0.8534616231918335, (794.6990356445312, 119.49461364746094, 112.41255950927734, 49.984779357910156))"
"('map', 0.996782124042511, (1138.0784912109375, 178.96640014648438, 190.03379821777344, 210.66552734375))","('ball', 0.9899388551712036, (505.0281066894531, 680.4077758789062, 118.53709411621094, 80.1600341796875))","('dice', 0.9881667494773865, (501.77392578125, 107.93378448486328, 62.690006256103516, 108.22322845458984))","('face', 0.8736088275909424, (366.9916076660156, 340.8337707519531, 90.96878814697266, 99.31727600097656))","('key', 0.858080267906189, (794.248046875, 119.36383819580078, 110.48078918457031, 49.42958068847656))"
"('map', 0.9962416887283325, (1138.86083984375, 178.88006591796875, 189.06201171875, 209.4859161376953))","('ball', 0.9923859238624573, (505.4095153808594, 680.5599975585938, 118.84135437011719, 82.09103393554688))","('dice', 0.9876106977462769, (502.3622131347656, 107.95854949951172, 63.27431106567383, 108.31574249267578))","('face', 0.924930989742279, (367.68829345703125, 342.2720031738281, 91.92881774902344, 100.18179321289062))","('key', 0.873297929763794, (793.7853393554688, 119.67948913574219, 111.48330688476562, 50.36144256591797))"
"('map', 0.996525228023529, (1139.1380615234375, 179.71188354492188, 191.1972198486328, 209.1792755126953))","('ball', 0.993059515953064, (505.1575012207031, 679.4791870117188, 118.38164520263672, 81.44225311279297))","('dice', 0.9890691637992859, (502.0609130859375, 107.81224822998047, 64.1766586303711, 109.72639465332031))","('face', 0.9260089993476868, (367.33697509765625, 343.0600280761719, 91.11326599121094, 99.77294921875))","('key', 0.8736255764961243, (794.5336303710938, 120.61860656738281, 122.54644775390625, 62.132198333740234))"
"('map', 0.9970797300338745, (1141.35302734375, 179.4634552001953, 194.25555419921875, 206.28848266601562))","('ball', 0.99189692735672, (504.3051452636719, 680.2168579101562, 118.08216857910156, 82.93711853027344))","('dice', 0.9907316565513611, (502.50360107421875, 107.79154205322266, 62.81256866455078, 109.27192687988281))","('face', 0.9447682499885559, (365.3664855957031, 344.29351806640625, 90.99099731445312, 102.5763168334961))","('key', 0.8872239589691162, (795.3038330078125, 119.76904296875, 123.77926635742188, 63.09523391723633))"
