"('face', 0.9564314484596252, (1212.4564208984375, 101.31330108642578, 72.917236328125, 106.06523895263672))","('dice', 0.9181567430496216, (681.3685302734375, 59.58094787597656, 92.6611328125, 141.01193237304688))","('face', 0.8121633529663086, (26.680051803588867, 353.9678039550781, 52.20073699951172, 178.82241821289062))","('key', 0.623980700969696, (1045.5885009765625, 94.14726257324219, 131.1845703125, 79.20680236816406))"
"('dice', 0.9169798493385315, (681.6295776367188, 59.423500061035156, 94.43106079101562, 139.91455078125))","('face', 0.9001286625862122, (1215.4818115234375, 102.7560806274414, 69.6460952758789, 106.16886901855469))","('face', 0.7682811617851257, (26.016328811645508, 353.4943542480469, 52.61014938354492, 179.61000061035156))","('key', 0.5714913010597229, (1046.0306396484375, 94.23660278320312, 131.84278869628906, 79.11983489990234))"
"('dice', 0.9216141104698181, (681.6358032226562, 59.336692810058594, 92.28861999511719, 141.21864318847656))","('face', 0.8683190941810608, (1216.541015625, 103.3907470703125, 68.7843017578125, 106.597412109375))","('face', 0.7598354816436768, (26.03280258178711, 353.29791259765625, 52.3538932800293, 172.13986206054688))","('key', 0.6213592290878296, (1045.61474609375, 94.7822494506836, 131.69802856445312, 79.97433471679688))"
"('dice', 0.9056283831596375, (680.9400634765625, 59.37989807128906, 92.4803237915039, 144.3911590576172))","('face', 0.8552823662757874, (1219.1800537109375, 103.19890594482422, 69.76522064208984, 107.9988784790039))","('face', 0.7015973925590515, (25.26949691772461, 353.5234680175781, 51.21608352661133, 176.30810546875))","('key', 0.6847724318504333, (1044.8206787109375, 94.97735595703125, 130.6252899169922, 78.6864013671875))"
"('dice', 0.9029132723808289, (681.1467895507812, 59.654483795166016, 94.45411682128906, 142.0832061767578))","('face', 0.8803035616874695, (1220.03125, 103.24180603027344, 69.54415130615234, 105.98758697509766))","('key', 0.683152437210083, (1044.393798828125, 95.02708435058594, 131.08853149414062, 78.89800262451172))","('face', 0.6251136660575867, (26.967679977416992, 372.28125, 55.486053466796875, 171.21775817871094))"
"('dice', 0.9108278155326843, (681.5158081054688, 59.718360900878906, 93.17153930664062, 141.28759765625))","('face', 0.8802831768989563, (1221.134765625, 103.52735900878906, 70.89847564697266, 107.84078979492188))","('key', 0.7004774808883667, (1045.4234619140625, 95.23149108886719, 132.3588104248047, 78.87874603271484))","('face', 0.65034419298172, (24.998435974121094, 353.29296875, 50.6193962097168, 171.97183227539062))"
"('dice', 0.9145664572715759, (681.4200439453125, 60.0608024597168, 90.79129028320312, 138.85963439941406))","('face', 0.8237478733062744, (1222.977783203125, 103.95741271972656, 70.70832824707031, 105.80661010742188))","('key', 0.7467831373214722, (1045.2513427734375, 95.5988998413086, 133.331787109375, 80.0427017211914))","('face', 0.6678699851036072, (25.31378173828125, 353.5234680175781, 51.54222106933594, 173.57470703125))"
"('dice', 0.9133278131484985, (682.0346069335938, 60.0380744934082, 91.61514282226562, 138.31826782226562))","('face', 0.8121576905250549, (1223.5791015625, 102.94656372070312, 70.51869201660156, 103.48816680908203))","('face', 0.6177418828010559, (26.73076629638672, 371.5177001953125, 53.7789306640625, 167.41493225097656))"
"('dice', 0.9133337140083313, (681.748046875, 59.76496887207031, 92.00740051269531, 137.64453125))","('face', 0.7081001400947571, (26.1420841217041, 372.45501708984375, 53.02277374267578, 174.59474182128906))","('face', 0.6983210444450378, (1222.518798828125, 102.58541107177734, 71.22811126708984, 99.97411346435547))"
"('dice', 0.9193136096000671, (681.3685302734375, 59.59836196899414, 92.78563690185547, 139.74386596679688))","('face', 0.667884886264801, (25.773603439331055, 372.6946716308594, 52.175254821777344, 175.87818908691406))","('face', 0.6287851333618164, (1220.507080078125, 101.8733901977539, 71.00241088867188, 99.18399810791016))"
"('dice', 0.9238269925117493, (680.7703857421875, 60.022972106933594, 95.60250854492188, 138.18325805664062))","('face', 0.6982886791229248, (26.08820152282715, 373.37335205078125, 51.617774963378906, 172.22393798828125))","('face', 0.5802823901176453, (1216.43212890625, 104.39869689941406, 65.9879150390625, 102.16394805908203))"
